Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County,name_no_num,code,row_num,definition
Shively Food Mart,-85.800301,38.204105,3122 Dixie Hwy,NA,Louisville,KY,40216,5063,JEFFERSON,SHIVELY FOOD MART,445110,1,Grocery
"Ashbourne Enterprises, LLC",-85.64679,38.252163,4100 Shelbyville Rd,NA,Louisville,KY,40207,3296,JEFFERSON,ASHBOURNE ENTERPRISES LLC,445120,3,Convenience Store
Mapco 7529,-85.871742,38.099407,10642 Dixie Hwy,NA,Louisville,KY,40272,9998,JEFFERSON,MAPCO,445120,3,Convenience Store
Grabandgo,-85.854965000000007,38.183491,3110 Rockford Ln,NA,Louisville,KY,40216,2212,JEFFERSON,GRABANDGO,445120,3,Convenience Store
Broadway Market,-85.757317,38.246006,332 W Broadway,Ste 105,Louisville,KY,40202,2176,JEFFERSON,BROADWAY MARKET,445110,1,Grocery
Shop Today,-85.624519,38.217728,3038 Hunsinger Lane,NA,Louisville,KY,40220,NA,JEFFERSON,SHOP TODAY,445120,3,Convenience Store
Thornton's 161,-85.614883,38.249645,7515 Shelbyville Rd,NA,Louisville,KY,40222,5407,JEFFERSON,THORNTONS,445120,3,Convenience Store
Mellwood Valero,-85.721863,38.255775,1500 Mellwood Ave,NA,Louisville,KY,40206,1750,JEFFERSON,MELLWOOD VALERO,445120,3,Convenience Store
Alfratain,-85.802933,38.154446,7319 Saint Andrews Church Rd,NA,Louisville,KY,40214,4011,JEFFERSON,ALFRATAIN,445200,5,Specialized Lines of Food
Taylor Blvd Valero,-85.775826,38.206589,3039 Taylor Blvd,NA,Louisville,KY,40208,1174,JEFFERSON,TAYLOR BLVD VALERO,445120,3,Convenience Store
Shree Sai Corporation,-85.797226,38.169201,6000 Manslick Rd,NA,Louisville,KY,40214,1144,JEFFERSON,SHREE SAI CORPORATION,445200,5,Specialized Lines of Food
J And C Gas Station,-85.797745,38.171303,4953 Manslick Rd,NA,Louisville,KY,40216,4025,JEFFERSON,J AND C GAS STATION,445120,3,Convenience Store
Elmars,-85.371613,38.105865,26 Commerce Dr,NA,Fisherville,KY,40023,6413,JEFFERSON,ELMARS,445120,3,Convenience Store
Thornton's 162,-85.57708,38.286007,9400 Westport Rd,NA,Louisville,KY,40241,2220,JEFFERSON,THORNTONS,445120,3,Convenience Store
Oak Food Mart,-85.734589,38.233166,1056 E Oak St,NA,Louisville,KY,40204,1963,JEFFERSON,OAK FOOD MART,445120,3,Convenience Store
Mi Preferida 3 LLC,-85.75106,38.132298,8104 National  Tpke,Ste 107,Louisville,KY,40214,NA,JEFFERSON,MI PREFERIDA  LLC,445110,1,Grocery
Jr Mini Mart,-85.635719,38.137646,6720 Outer Loop,NA,Louisville,KY,40228,1822,JEFFERSON,JR MINI MART,445120,3,Convenience Store
24-7 Convenience Plus,-85.740234,38.211117,2703 Preston Hwy,NA,Louisville,KY,40217,2401,JEFFERSON,CONVENIENCE PLUS,445120,3,Convenience Store
Lamp Fall Grocery Store,-85.68605,38.200275,4222 Bishop Ln,NA,Louisville,KY,40218,4516,JEFFERSON,LAMP FALL GROCERY STORE,445110,1,Grocery
Dollar Tree 5784,-85.613655,38.135159,7813 Beulah Church Rd,116-118,Louisville,KY,40228,NA,JEFFERSON,DOLLAR TREE,445120,3,Convenience Store
Wayside Christian Mission,-85.754272,38.245773,120 W Broadway,NA,Louisville,KY,40202,2136,JEFFERSON,WAYSIDE CHRISTIAN MISSION,445200,5,Specialized Lines of Food
Speedy Mart 22,-85.782684,38.175697,4406 Taylor Blvd,NA,Louisville,KY,40215,2304,JEFFERSON,SPEEDY MART,445120,3,Convenience Store
St. Matthews Mini Mart,-85.657608,38.252422,316 Wallace Ave,NA,Louisville,KY,40207,3008,JEFFERSON,ST MATTHEWS MINI MART,445120,3,Convenience Store
Mapco Mart 7522,-85.698486,38.15675,3415 Fern Valley Rd,NA,Louisville,KY,40213,3529,JEFFERSON,MAPCO MART,445120,3,Convenience Store
Bethleham 2014 LLC,-85.742393,38.224606,1506 S Shelby St,NA,Louisville,KY,40217,1109,JEFFERSON,BETHLEHAM  LLC,445120,3,Convenience Store
Cash Saver 170,-85.757027,38.103497,501 Mount Holly Rd,NA,Fairdale,KY,40118,9002,JEFFERSON,CASH SAVER,445110,1,Grocery
Ali's Food Mart 1,-85.789902,38.229881,1444 Dixie Hwy,NA,Louisville,KY,40210,1770,JEFFERSON,ALIS FOOD MART,445120,3,Convenience Store
"Fantastic Market, Inc.",-85.791298,38.269413,2600 Bank St,NA,Louisville,KY,40212,2020,JEFFERSON,FANTASTIC MARKET INC,445120,3,Convenience Store
"12th And Hill Market, Llc",-85.775421,38.227497,1201 W Hill St,NA,Louisville,KY,40210,1843,JEFFERSON,TH AND HILL MARKET LLC,6,6,Farmer's Market
Shop Today 4 Inc/Sara Foodmart,-85.777267,38.175457,1001 Brookline Ave,NA,Louisville,KY,40215,2315,JEFFERSON,SHOP TODAY  INCSARA FOODMART,445120,3,Convenience Store
Supermercado Guanajuato,-85.699295,38.161049,6201 Preston Hwy,Ste B,Louisville,KY,40219,1855,JEFFERSON,SUPERMERCADO GUANAJUATO,445200,5,Specialized Lines of Food
